longitude,latitude,elevation
88.0083,15.9965,-2683.0
89.675,15.9965,-2558.0
91.3417,15.9965,-2438.0
93.0083,15.9965,-2595.0
94.675,15.9965,5.0
96.3417,15.9965,-10.0
98.0083,15.9965,13.0
89.6583,15.9804,-2568.0
91.325,15.9804,-2450.0
92.9917,15.9804,-2606.0
94.6583,15.9804,5.0
96.325,15.9804,-8.0
97.9917,15.9804,19.0
89.6417,15.9644,-2576.0
91.3083,15.9644,-2464.0
92.975,15.9644,-2606.0
94.6417,15.9644,-4.0
96.3083,15.9644,-7.0
97.975,15.9644,15.0
89.625,15.9484,-2584.0
91.2917,15.9484,-2476.0
92.9583,15.9484,-2608.0
94.625,15.9484,-4.0
96.2917,15.9484,-9.0
97.9583,15.9484,17.0
89.6083,15.9324,-2594.0
91.275,15.9324,-2488.0
92.9417,15.9324,-2616.0
94.6083,15.9324,5.0
96.275,15.9324,-8.0
97.9417,15.9324,19.0
89.5917,15.9163,-2604.0
91.2583,15.9163,-2498.0
92.925,15.9163,-2628.0
94.5917,15.9163,-2.0
96.2583,15.9163,-8.0
97.925,15.9163,21.0
89.575,15.9003,-2618.0
91.2417,15.9003,-2509.0
92.9083,15.9003,-2632.0
94.575,15.9003,-4.0
96.2417,15.9003,-11.0
97.9083,15.9003,23.0
89.5583,15.8843,-2616.0
91.225,15.8843,-2496.0
92.8917,15.8843,-2649.0
94.5583,15.8843,-2.0
96.225,15.8843,-10.0
97.8917,15.8843,43.0
89.5417,15.8682,-2614.0
91.2083,15.8682,-2500.0
92.875,15.8682,-2634.0
94.5417,15.8682,-5.0
96.2083,15.8682,-12.0
97.875,15.8682,125.0
89.525,15.8522,-2614.0
91.1917,15.8522,-2504.0
92.8583,15.8522,-2610.0
94.525,15.8522,-2.0
96.1917,15.8522,-12.0
97.8583,15.8522,127.0
89.5083,15.8362,-2616.0
91.175,15.8362,-2512.0
92.8417,15.8362,-2620.0
94.5083,15.8362,-2.0
96.175,15.8362,-12.0
97.8417,15.8362,147.0
89.4917,15.8201,-2618.0
91.1583,15.8201,-2524.0
92.825,15.8201,-2628.0
94.4917,15.8201,-2.0
96.1583,15.8201,-10.0
97.825,15.8201,45.0
89.475,15.8041,-2620.0
91.1417,15.8041,-2540.0
92.8083,15.8041,-2636.0
94.475,15.8041,-5.0
96.1417,15.8041,-12.0
97.8083,15.8041,67.0
89.4583,15.7881,-2622.0
91.125,15.7881,-2552.0
92.7917,15.7881,-2646.0
94.4583,15.7881,-6.0
96.125,15.7881,-12.0
97.7917,15.7881,51.0
89.4417,15.772,-2622.0
91.1083,15.772,-2558.0
92.775,15.772,-2660.0
94.4417,15.772,-12.0
96.1083,15.772,-12.0
97.775,15.772,19.0
89.425,15.756,-2624.0
91.0917,15.756,-2558.0
92.7583,15.756,-2674.0
94.425,15.756,-14.0
96.0917,15.756,-14.0
97.7583,15.756,19.0
89.4083,15.74,-2628.0
91.075,15.74,-2554.0
92.7417,15.74,-2666.0
94.4083,15.74,-14.0
96.075,15.74,-12.0
97.7417,15.74,7.0
89.3917,15.7239,-2630.0
91.0583,15.7239,-2554.0
92.725,15.7239,-2642.0
94.3917,15.7239,-17.0
96.0583,15.7239,-12.0
97.725,15.7239,5.0
89.375,15.7079,-2632.0
91.0417,15.7079,-2560.0
92.7083,15.7079,-2622.0
94.375,15.7079,-21.0
96.0417,15.7079,-13.0
97.7083,15.7079,12.0
89.3583,15.6918,-2634.0
91.025,15.6918,-2570.0
92.6917,15.6918,-2612.0
94.3583,15.6918,-21.0
96.025,15.6918,-16.0
97.6917,15.6918,-5.0
89.3417,15.6758,-2640.0
91.0083,15.6758,-2576.0
92.675,15.6758,-2615.0
94.3417,15.6758,-18.0
96.0083,15.6758,-16.0
97.675,15.6758,-1.0
89.325,15.6597,-2646.0
90.9917,15.6597,-2580.0
92.6583,15.6597,-2610.0
94.325,15.6597,-21.0
95.9917,15.6597,-14.0
97.6583,15.6597,-13.0
89.3083,15.6437,-2654.0
90.975,15.6437,-2588.0
92.6417,15.6437,-2604.0
94.3083,15.6437,-17.0
95.975,15.6437,-14.0
97.6417,15.6437,-14.0
89.2917,15.6276,-2658.0
90.9583,15.6276,-2598.0
92.625,15.6276,-2610.0
94.2917,15.6276,-37.0
95.9583,15.6276,-14.0
97.625,15.6276,-19.0
89.275,15.6116,-2666.0
90.9417,15.6116,-2610.0
92.6083,15.6116,-2620.0
94.275,15.6116,-42.0
95.9417,15.6116,-12.0
97.6083,15.6116,-20.0
89.2583,15.5955,-2670.0
90.925,15.5955,-2624.0
92.5917,15.5955,-2628.0
94.2583,15.5955,-40.0
95.925,15.5955,-14.0
97.5917,15.5955,-18.0
89.2417,15.5795,-2676.0
90.9083,15.5795,-2635.0
92.575,15.5795,-2632.0
94.2417,15.5795,-35.0
95.9083,15.5795,-14.0
97.575,15.5795,-18.0
89.225,15.5634,-2678.0
90.8917,15.5634,-2614.0
92.5583,15.5634,-2626.0
94.225,15.5634,-30.0
95.8917,15.5634,-16.0
97.5583,15.5634,-18.0
89.2083,15.5474,-2684.0
90.875,15.5474,-2600.0
92.5417,15.5474,-2624.0
94.2083,15.5474,-34.0
95.875,15.5474,-18.0
97.5417,15.5474,-20.0
89.1917,15.5313,-2688.0
90.8583,15.5313,-2604.0
92.525,15.5313,-2628.0
94.1917,15.5313,-38.0
95.8583,15.5313,-18.0
97.525,15.5313,-20.0
89.175,15.5153,-2696.0
90.8417,15.5153,-2610.0
92.5083,15.5153,-2638.0
94.175,15.5153,-40.0
95.8417,15.5153,-18.0
97.5083,15.5153,-20.0
89.1583,15.4992,-2702.0
90.825,15.4992,-2616.0
92.4917,15.4992,-2646.0
94.1583,15.4992,-34.0
95.825,15.4992,-20.0
97.4917,15.4992,-20.0
89.1417,15.4831,-2706.0
90.8083,15.4831,-2618.0
92.475,15.4831,-2648.0
94.1417,15.4831,-30.0
95.8083,15.4831,-22.0
97.475,15.4831,-23.0
89.125,15.4671,-2714.0
90.7917,15.4671,-2618.0
92.4583,15.4671,-2648.0
94.125,15.4671,-30.0
95.7917,15.4671,-20.0
97.4583,15.4671,-26.0
89.1083,15.451,-2722.0
90.775,15.451,-2618.0
92.4417,15.451,-2648.0
94.1083,15.451,-34.0
95.775,15.451,-22.0
97.4417,15.451,-28.0
89.0917,15.4349,-2726.0
90.7583,15.4349,-2620.0
92.425,15.4349,-2654.0
94.0917,15.4349,-36.0
95.7583,15.4349,-24.0
97.425,15.4349,-28.0
89.075,15.4189,-2732.0
90.7417,15.4189,-2618.0
92.4083,15.4189,-2660.0
94.075,15.4189,-38.0
95.7417,15.4189,-28.0
97.4083,15.4189,-28.0
89.0583,15.4028,-2738.0
90.725,15.4028,-2622.0
92.3917,15.4028,-2664.0
94.0583,15.4028,-40.0
95.725,15.4028,-30.0
97.3917,15.4028,-28.0
89.0417,15.3867,-2742.0
90.7083,15.3867,-2622.0
92.375,15.3867,-2668.0
94.0417,15.3867,-46.0
95.7083,15.3867,-29.0
97.375,15.3867,-24.0
89.025,15.3707,-2748.0
90.6917,15.3707,-2622.0
92.3583,15.3707,-2670.0
94.025,15.3707,-46.0
95.6917,15.3707,-24.0
97.3583,15.3707,-26.0
89.0083,15.3546,-2754.0
90.675,15.3546,-2623.0
92.3417,15.3546,-2666.0
94.0083,15.3546,-40.0
95.675,15.3546,-24.0
97.3417,15.3546,-26.0
88.9917,15.3385,-2762.0
90.6583,15.3385,-2632.0
92.325,15.3385,-2656.0
93.9917,15.3385,-40.0
95.6583,15.3385,-24.0
97.325,15.3385,-26.0
88.975,15.3224,-2766.0
90.6417,15.3224,-2634.0
92.3083,15.3224,-2640.0
93.975,15.3224,-40.0
95.6417,15.3224,-28.0
97.3083,15.3224,-28.0
88.9583,15.3064,-2772.0
90.625,15.3064,-2638.0
92.2917,15.3064,-2628.0
93.9583,15.3064,-44.0
95.625,15.3064,-24.0
97.2917,15.3064,-30.0
88.9417,15.2903,-2778.0
90.6083,15.2903,-2640.0
92.275,15.2903,-2632.0
93.9417,15.2903,-42.0
95.6083,15.2903,-28.0
97.275,15.2903,-26.0
88.925,15.2742,-2782.0
90.5917,15.2742,-2644.0
92.2583,15.2742,-2644.0
93.925,15.2742,-42.0
95.5917,15.2742,-38.0
97.2583,15.2742,-27.0
88.9083,15.2581,-2786.0
90.575,15.2581,-2646.0
92.2417,15.2581,-2654.0
93.9083,15.2581,-44.0
95.575,15.2581,-46.0
97.2417,15.2581,-27.0
88.8917,15.2421,-2788.0
90.5583,15.2421,-2650.0
92.225,15.2421,-2654.0
93.8917,15.2421,-52.0
95.5583,15.2421,-50.0
97.225,15.2421,-26.0
88.875,15.226,-2792.0
90.5417,15.226,-2652.0
92.2083,15.226,-2650.0
93.875,15.226,-67.0
95.5417,15.226,-44.0
97.2083,15.226,-24.0
88.8583,15.2099,-2794.0
90.525,15.2099,-2654.0
92.1917,15.2099,-2642.0
93.8583,15.2099,-82.0
95.525,15.2099,-40.0
97.1917,15.2099,-24.0
88.8417,15.1938,-2798.0
90.5083,15.1938,-2656.0
92.175,15.1938,-2638.0
93.8417,15.1938,-68.0
95.5083,15.1938,-46.0
97.175,15.1938,-26.0
88.825,15.1777,-2796.0
90.4917,15.1777,-2657.0
92.1583,15.1777,-2636.0
93.825,15.1777,-54.0
95.4917,15.1777,-48.0
97.1583,15.1777,-26.0
88.8083,15.1616,-2796.0
90.475,15.1616,-2657.0
92.1417,15.1616,-2635.0
93.8083,15.1616,-70.0
95.475,15.1616,-51.0
97.1417,15.1616,-26.0
88.7917,15.1456,-2794.0
90.4583,15.1456,-2656.0
92.125,15.1456,-2642.0
93.7917,15.1456,-88.0
95.4583,15.1456,-50.0
97.125,15.1456,-27.0
88.775,15.1295,-2803.0
90.4417,15.1295,-2662.0
92.1083,15.1295,-2654.0
93.775,15.1295,-106.0
95.4417,15.1295,-50.0
97.1083,15.1295,-26.0
88.7583,15.1134,-2822.0
90.425,15.1134,-2666.0
92.0917,15.1134,-2658.0
93.7583,15.1134,-110.0
95.425,15.1134,-52.0
97.0917,15.1134,-28.0
88.7417,15.0973,-2835.0
90.4083,15.0973,-2672.0
92.075,15.0973,-2654.0
93.7417,15.0973,-94.0
95.4083,15.0973,-54.0
97.075,15.0973,-28.0
88.725,15.0812,-2834.0
90.3917,15.0812,-2674.0
92.0583,15.0812,-2651.0
93.725,15.0812,-116.0
95.3917,15.0812,-56.0
97.0583,15.0812,-30.0
88.7083,15.0651,-2834.0
90.375,15.0651,-2678.0
92.0417,15.0651,-2657.0
93.7083,15.0651,-167.0
95.375,15.0651,-58.0
97.0417,15.0651,-30.0
88.6917,15.049,-2834.0
90.3583,15.049,-2678.0
92.025,15.049,-2655.0
93.6917,15.049,-108.0
95.3583,15.049,-58.0
97.025,15.049,-30.0
88.675,15.0329,-2836.0
90.3417,15.0329,-2682.0
92.0083,15.0329,-2660.0
93.675,15.0329,-102.0
95.3417,15.0329,-56.0
97.0083,15.0329,-30.0
88.6583,15.0168,-2840.0
90.325,15.0168,-2682.0
91.9917,15.0168,-2665.0
93.6583,15.0168,-96.0
95.325,15.0168,-55.0
96.9917,15.0168,-28.0
88.6417,15.0007,-2844.0
90.3083,15.0007,-2685.0
91.975,15.0007,-2655.0
93.6417,15.0007,-110.0
95.3083,15.0007,-58.0
96.975,15.0007,-32.0
88.625,14.9846,-2848.0
90.2917,14.9846,-2686.0
91.9583,14.9846,-2668.0
93.625,14.9846,-100.0
95.2917,14.9846,-58.0
96.9583,14.9846,-32.0
88.6083,14.9685,-2850.0
90.275,14.9685,-2690.0
91.9417,14.9685,-2682.0
93.6083,14.9685,-66.0
95.275,14.9685,-57.0
96.9417,14.9685,-31.0
88.5917,14.9524,-2852.0
90.2583,14.9524,-2694.0
91.925,14.9524,-2684.0
93.5917,14.9524,-85.0
95.2583,14.9524,-60.0
96.925,14.9524,-32.0
88.575,14.9363,-2854.0
90.2417,14.9363,-2698.0
91.9083,14.9363,-2680.0
93.575,14.9363,-58.0
95.2417,14.9363,-64.0
96.9083,14.9363,-31.0
88.5583,14.9202,-2856.0
90.225,14.9202,-2700.0
91.8917,14.9202,-2676.0
93.5583,14.9202,-65.0
95.225,14.9202,-62.0
96.8917,14.9202,-32.0
88.5417,14.9041,-2858.0
90.2083,14.9041,-2702.0
91.875,14.9041,-2676.0
93.5417,14.9041,-64.0
95.2083,14.9041,-61.0
96.875,14.9041,-34.0
88.525,14.888,-2862.0
90.1917,14.888,-2704.0
